epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,1940.62,0.95435,0.66686,1.15321,0.96537,0.94493,0.98071,0.80276,0.37535,0.82551,0.52694,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,2002.04,0.96491,0.66666,1.16289,0.96107,0.94869,0.98208,0.7964,0.3791,0.71609,0.53305,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,2064.52,0.93931,0.6498,1.14014,0.95478,0.95034,0.98186,0.79936,0.37356,0.93838,0.52776,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,2128.41,0.92912,0.63871,1.14033,0.96455,0.95826,0.98461,0.81046,0.3589,0.5649,0.51754,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,2192.24,0.91976,0.63304,1.13765,0.95033,0.96107,0.98387,0.81457,0.35099,0.82457,0.51685,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,2254.88,0.91163,0.62843,1.1296,0.95543,0.96269,0.982,0.80908,0.35498,0.90086,0.51626,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,2316.4,0.91555,0.63949,1.1322,0.96296,0.95629,0.98357,0.80619,0.35932,0.67697,0.51653,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,2377.8,0.90394,0.61616,1.12371,0.97068,0.94833,0.98544,0.81589,0.3505,0.77198,0.51076,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,2440.59,0.89594,0.61221,1.1238,0.97036,0.95654,0.98552,0.82195,0.34076,0.72097,0.50696,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,2503.06,0.8996,0.63104,1.12334,0.97246,0.95136,0.98598,0.83138,0.33001,0.7828,0.50236,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
